N,tempo(ms)
500000,60.163300
1000000,111.409798
1500000,170.065994
2000000,233.550507
2500000,286.202698
3000000,357.291290
3500000,420.806000
4000000,490.343414
4500000,566.386902
5000000,623.629883
5500000,697.506592
6000000,777.708008
6500000,840.469910
7000000,907.214111
7500000,974.045898
8000000,1024.718628
8500000,1125.904907
9000000,1188.934937
9500000,1254.906006
10000000,1326.763550
