N,tempo(ms)
500000,91,199997
1000000,160,000000
1500000,243,600006
2000000,337,600006
2500000,419,399994
3000000,500,399994
3500000,623,599976
4000000,728,200012
4500000,803,200012
5000000,923,000000
5500000,998,200012
6000000,1099,599976
6500000,1198,400024
7000000,1305,199951
7500000,1388,000000
8000000,1498,000000
8500000,1547,800049
9000000,1767,000000
9500000,2108,000000
10000000,2041,800049
