N,tempo(ms)
200000,224
400000,324
600000,403
800000,450
1000000,648
1200000,735
1400000,856
1600000,955
1800000,977
2000000,1212
2200000,1301
2400000,1426
2600000,1567
2800000,1633
3000000,1803
3200000,1886
3400000,2232
3600000,2296
3800000,2397
4000000,2320
